sale_id,store_id,customer_id,product_id,sale_date,sale_amount
SALE0078,25,1924,PROD008,2019-03-19,1382
SALE0079,4,1643,PROD036,2019-03-20,515
SALE0080,48,2938,PROD003,2019-03-21,353
SALE0081,16,2674,PROD015,2019-03-22,207
SALE0082,54,1534,PROD029,2019-03-23,620
SALE0083,50,1837,PROD015,2019-03-24,636
SALE0084,28,1567,PROD029,2019-03-25,361
SALE0085,7,2278,PROD011,2019-03-26,416
SALE0086,38,1500,PROD011,2019-03-27,704
SALE0087,47,2606,PROD004,2019-03-28,1245
SALE0088,8,1333,PROD011,2019-03-29,333
SALE0089,17,1542,PROD040,2019-03-30,135
SALE0090,41,1962,PROD038,2019-03-31,1395
SALE0091,7,2433,PROD040,2019-04-01,1313
SALE0092,41,1381,PROD037,2019-04-02,998
SALE0093,29,1757,PROD002,2019-04-03,138
SALE0094,52,1506,PROD032,2019-04-04,1450
SALE0095,53,1811,PROD001,2019-04-05,670
SALE0096,55,1427,PROD010,2019-04-06,1314
SALE0097,34,1489,PROD029,2019-04-07,1363
SALE0098,57,1039,PROD012,2019-04-08,1304
SALE0099,28,1587,PROD023,2019-04-09,301
SALE0100,26,2986,PROD005,2019-04-10,287
SALE0101,10,1162,PROD020,2019-04-11,868
SALE0102,39,1725,PROD038,2019-04-12,628
SALE0103,31,2466,PROD033,2019-04-13,452
SALE0104,8,2704,PROD013,2019-04-14,1003
SALE0105,5,2463,PROD040,2019-04-15,690
SALE0106,32,1460,PROD037,2019-04-16,1152
SALE0107,56,1660,PROD024,2019-04-17,434
SALE0108,40,2250,PROD017,2019-04-18,1121
SALE0109,5,1640,PROD009,2019-04-19,666
SALE0110,24,2275,PROD016,2019-04-20,262
SALE0111,52,1621,PROD035,2019-04-21,795
SALE0112,43,1615,PROD037,2019-04-22,715
SALE0113,30,2074,PROD011,2019-04-23,1364
SALE0114,40,2110,PROD038,2019-04-24,338
SALE0115,20,1455,PROD001,2019-04-25,676
SALE0116,6,2437,PROD033,2019-04-26,668
SALE0117,53,2556,PROD023,2019-04-27,668
SALE0118,26,2440,PROD008,2019-04-28,673
SALE0119,44,2114,PROD011,2019-04-29,1272
SALE0120,2,1948,PROD031,2019-04-30,1052
SALE0121,37,2706,PROD008,2019-05-01,518
SALE0122,25,1158,PROD009,2019-05-02,998
SALE0123,42,1671,PROD024,2019-05-03,1466
SALE0124,41,2783,PROD034,2019-05-04,967
SALE0125,36,1919,PROD036,2019-05-05,1284
SALE0126,24,1238,PROD024,2019-05-06,539
SALE0127,29,1711,PROD009,2019-05-07,790
SALE0128,29,1402,PROD017,2019-05-08,37
SALE0129,38,1919,PROD022,2019-05-09,369
SALE0130,43,1297,PROD031,2019-05-10,1064
SALE0131,22,2773,PROD016,2019-05-11,209
SALE0132,9,2458,PROD006,2019-05-12,437
SALE0133,50,2795,PROD012,2019-05-13,13
SALE0134,7,1138,PROD016,2019-05-14,1062
SALE0135,47,1007,PROD013,2019-05-15,879
SALE0136,1,1022,PROD001,2019-05-16,229
SALE0137,23,2661,PROD016,2019-05-17,872
SALE0138,52,2209,PROD033,2019-05-18,1055
SALE0139,43,1501,PROD038,2019-05-19,1006
SALE0140,57,2024,PROD011,2019-05-20,1256
SALE0141,46,1367,PROD018,2019-05-21,1220
SALE0142,40,1307,PROD031,2019-05-22,405
SALE0143,44,1827,PROD027,2019-05-23,283
SALE0144,19,1357,PROD017,2019-05-24,1242
SALE0145,34,2549,PROD019,2019-05-25,1093
SALE0146,56,2323,PROD003,2019-05-26,77
SALE0147,55,2154,PROD039,2019-05-27,583
SALE0148,13,1567,PROD035,2019-05-28,735
SALE0149,2,2772,PROD008,2019-05-29,584
SALE0150,3,1868,PROD009,2019-05-30,1305
SALE0151,44,2450,PROD023,2019-05-31,1065
SALE0152,50,1465,PROD017,2019-06-01,1446
SALE0153,22,1292,PROD027,2019-06-02,1440
SALE0154,53,2250,PROD036,2019-06-03,341
SALE0155,58,2080,PROD039,2019-06-04,357
SALE0156,5,2503,PROD022,2019-06-05,798
SALE0157,59,2246,PROD019,2019-06-06,43
SALE0158,33,1423,PROD023,2019-06-07,683
SALE0159,11,2600,PROD027,2019-06-08,400
SALE0160,40,2466,PROD037,2019-06-09,502
SALE0161,16,2589,PROD029,2019-06-10,1050
SALE0162,8,2252,PROD001,2019-06-11,297
SALE0163,40,1765,PROD028,2019-06-12,265
SALE0164,39,2158,PROD012,2019-06-13,889
SALE0165,3,1058,PROD029,2019-06-14,1028
SALE0166,56,1938,PROD003,2019-06-15,937
SALE0167,50,2049,PROD030,2019-06-16,180
SALE0168,19,1354,PROD023,2019-06-17,252
SALE0169,43,1531,PROD012,2019-06-18,936
SALE0170,17,1987,PROD009,2019-06-19,1001
SALE0171,31,2140,PROD010,2019-06-20,896
SALE0172,36,2981,PROD017,2019-06-21,1080
SALE0173,10,1319,PROD029,2019-06-22,1328
SALE0174,31,1788,PROD027,2019-06-23,911
SALE0175,28,2811,PROD024,2019-06-24,485
SALE0176,1,2139,PROD010,2019-06-25,722
SALE0177,9,2155,PROD010,2019-06-26,586
SALE0178,21,2326,PROD014,2019-06-27,499
SALE0179,37,2535,PROD027,2019-06-28,279
SALE0180,33,2581,PROD034,2019-06-29,1261
SALE0181,53,1624,PROD014,2019-06-30,1031
SALE0182,46,2423,PROD027,2019-07-01,288
SALE0183,9,2169,PROD002,2019-07-02,1424
SALE0184,32,1116,PROD003,2019-07-03,1171
SALE0185,13,1761,PROD037,2019-07-04,260
SALE0186,31,1226,PROD023,2019-07-05,474
SALE0187,5,1567,PROD035,2019-07-06,378
SALE0188,19,1588,PROD032,2019-07-07,268
SALE0189,32,2717,PROD004,2019-07-08,1387
SALE0190,51,2912,PROD002,2019-07-09,1084
SALE0191,57,2402,PROD021,2019-07-10,609
SALE0192,13,2466,PROD002,2019-07-11,231
SALE0193,49,2388,PROD019,2019-07-12,442
SALE0194,40,2723,PROD008,2019-07-13,65
SALE0195,18,1492,PROD015,2019-07-14,354
SALE0196,19,1011,PROD010,2019-07-15,989
SALE0197,31,2821,PROD003,2019-07-16,174
SALE0198,26,2345,PROD031,2019-07-17,1183
SALE0199,41,2064,PROD025,2019-07-18,697
SALE0200,37,2057,PROD040,2019-07-19,1282
SALE0201,41,1019,PROD032,2019-07-20,250
SALE0202,25,1798,PROD038,2019-07-21,544
SALE0203,34,1568,PROD034,2019-07-22,702
SALE0204,42,1743,PROD033,2019-07-23,588
SALE0205,54,2419,PROD029,2019-07-24,976
SALE0206,4,1243,PROD033,2019-07-25,590
SALE0207,14,1768,PROD034,2019-07-26,851
SALE0208,51,2830,PROD001,2019-07-27,78
SALE0209,15,2116,PROD038,2019-07-28,208
SALE0210,16,2769,PROD028,2019-07-29,377
SALE0211,1,2110,PROD002,2019-07-30,199
SALE0212,51,1846,PROD025,2019-07-31,940
SALE0213,26,1734,PROD033,2019-08-01,1270
SALE0214,38,1284,PROD004,2019-08-02,227
SALE0215,45,1295,PROD004,2019-08-03,1272
SALE0216,17,2041,PROD020,2019-08-04,204
SALE0217,45,2114,PROD012,2019-08-05,1369
SALE0218,57,1216,PROD005,2019-08-06,202
SALE0219,14,1182,PROD015,2019-08-07,79
SALE0220,30,2384,PROD018,2019-08-08,840
SALE0221,41,1840,PROD038,2019-08-09,509
SALE0222,27,1650,PROD024,2019-08-10,892
SALE0223,44,1496,PROD010,2019-08-11,151
SALE0224,25,2757,PROD035,2019-08-12,1149
SALE0225,38,1940,PROD031,2019-08-13,260
SALE0226,27,1237,PROD039,2019-08-14,1062
SALE0227,51,1006,PROD035,2019-08-15,475
SALE0228,49,2010,PROD025,2019-08-16,334
SALE0229,55,2131,PROD009,2019-08-17,1114
SALE0230,40,1535,PROD032,2019-08-18,230
SALE0231,20,1160,PROD009,2019-08-19,776
SALE0232,52,2585,PROD012,2019-08-20,1266
SALE0233,30,2406,PROD001,2019-08-21,573
SALE0234,16,2103,PROD006,2019-08-22,1391
SALE0235,30,1615,PROD011,2019-08-23,504
SALE0236,33,2929,PROD022,2019-08-24,1157
SALE0237,38,2893,PROD033,2019-08-25,1285
SALE0238,28,2916,PROD031,2019-08-26,714
SALE0239,41,2763,PROD037,2019-08-27,1167
SALE0240,35,2078,PROD021,2019-08-28,1003
SALE0241,6,1982,PROD001,2019-08-29,289
SALE0242,53,1879,PROD011,2019-08-30,505
SALE0243,10,2904,PROD005,2019-08-31,851
SALE0244,35,2238,PROD004,2019-09-01,1406
SALE0245,7,1101,PROD009,2019-09-02,326
SALE0246,2,1810,PROD018,2019-09-03,1141
SALE0247,13,2244,PROD036,2019-09-04,384
SALE0248,7,1877,PROD040,2019-09-05,893
SALE0249,30,1180,PROD009,2019-09-06,952
SALE0250,31,2752,PROD004,2019-09-07,1218
SALE0251,31,1216,PROD038,2019-09-08,404
SALE0252,54,2717,PROD020,2019-09-09,1018
SALE0253,9,1524,PROD033,2019-09-10,1049
SALE0254,19,2068,PROD011,2019-09-11,406
SALE0255,21,2312,PROD010,2019-09-12,1122
SALE0256,11,2004,PROD023,2019-09-13,535
SALE0257,3,1320,PROD006,2019-09-14,196
SALE0258,14,1253,PROD018,2019-09-15,877
SALE0259,54,1319,PROD037,2019-09-16,720
SALE0260,41,2086,PROD013,2019-09-17,1459
SALE0261,17,2844,PROD031,2019-09-18,432
SALE0262,35,1418,PROD011,2019-09-19,49
SALE0263,10,1744,PROD028,2019-09-20,18
SALE0264,14,1788,PROD039,2019-09-21,282
SALE0265,13,1163,PROD015,2019-09-22,805
SALE0266,18,2748,PROD035,2019-09-23,980
SALE0267,11,1748,PROD006,2019-09-24,878
SALE0268,10,2569,PROD024,2019-09-25,673
SALE0269,42,2137,PROD014,2019-09-26,186
SALE0270,7,1523,PROD003,2019-09-27,1314
SALE0271,36,1238,PROD011,2019-09-28,285
SALE0272,58,1089,PROD027,2019-09-29,704
SALE0273,5,2854,PROD007,2019-09-30,646
SALE0274,22,1478,PROD029,2019-10-01,1268
SALE0275,35,2292,PROD033,2019-10-02,684
SALE0276,30,2999,PROD021,2019-10-03,228
SALE0277,16,1324,PROD038,2019-10-04,1374
SALE0278,26,1136,PROD001,2019-10-05,146
SALE0279,44,2929,PROD021,2019-10-06,537
SALE0280,47,1480,PROD010,2019-10-07,652
SALE0281,23,1136,PROD011,2019-10-08,1354
SALE0282,44,2816,PROD009,2019-10-09,1484
SALE0283,21,1983,PROD037,2019-10-10,1182
SALE0284,47,1568,PROD039,2019-10-11,1214
SALE0285,46,2072,PROD007,2019-10-12,1371
SALE0286,54,2567,PROD023,2019-10-13,1236
SALE0287,41,1938,PROD040,2019-10-14,1087
SALE0288,25,2663,PROD037,2019-10-15,931
SALE0289,42,1941,PROD027,2019-10-16,772
SALE0290,14,2177,PROD003,2019-10-17,795
SALE0291,41,2501,PROD005,2019-10-18,1229
SALE0292,2,1088,PROD018,2019-10-19,523
SALE0293,50,1777,PROD032,2019-10-20,181
SALE0294,5,2315,PROD007,2019-10-21,1294
SALE0295,51,1404,PROD019,2019-10-22,1378
SALE0296,58,2540,PROD035,2019-10-23,1075
SALE0297,43,2051,PROD022,2019-10-24,969
SALE0298,6,2471,PROD018,2019-10-25,1379
SALE0299,52,1368,PROD012,2019-10-26,188
SALE0300,45,1457,PROD032,2019-10-27,514
SALE0301,49,2188,PROD009,2019-10-28,1106
SALE0302,32,2579,PROD037,2019-10-29,425
SALE0303,35,2658,PROD015,2019-10-30,1419
SALE0304,50,2146,PROD008,2019-10-31,359
SALE0305,4,1485,PROD025,2019-11-01,1029
SALE0306,21,2945,PROD020,2019-11-02,16
SALE0307,46,1333,PROD034,2019-11-03,1009
SALE0308,31,2792,PROD006,2019-11-04,64
SALE0309,29,1465,PROD007,2019-11-05,893
SALE0310,39,2851,PROD035,2019-11-06,183
SALE0311,2,2024,PROD003,2019-11-07,952
SALE0312,17,1983,PROD026,2019-11-08,115
SALE0313,8,2064,PROD026,2019-11-09,517
SALE0314,4,2870,PROD014,2019-11-10,525
SALE0315,58,2790,PROD014,2019-11-11,1479
SALE0316,43,1494,PROD003,2019-11-12,1124
SALE0317,52,1677,PROD006,2019-11-13,105
SALE0318,26,1503,PROD012,2019-11-14,1353
SALE0319,29,1821,PROD012,2019-11-15,836
SALE0320,23,2301,PROD013,2019-11-16,399
SALE0321,12,1489,PROD010,2019-11-17,188
SALE0322,47,2505,PROD006,2019-11-18,82
SALE0323,44,1193,PROD002,2019-11-19,1161
SALE0324,52,1852,PROD009,2019-11-20,916
SALE0325,1,1786,PROD024,2019-11-21,296
SALE0326,27,1704,PROD025,2019-11-22,72
SALE0327,5,1283,PROD019,2019-11-23,1170
SALE0328,16,1530,PROD024,2019-11-24,1336
SALE0329,3,2584,PROD017,2019-11-25,858
SALE0330,51,1278,PROD013,2019-11-26,1038
SALE0331,54,1259,PROD021,2019-11-27,182
SALE0332,3,2061,PROD002,2019-11-28,680
SALE0333,52,2935,PROD005,2019-11-29,890
SALE0334,31,2467,PROD033,2019-11-30,1230
SALE0335,25,2535,PROD012,2019-12-01,99
SALE0336,53,2261,PROD015,2019-12-02,179
SALE0337,42,1491,PROD017,2019-12-03,885
SALE0338,51,2721,PROD020,2019-12-04,1298
SALE0339,54,2988,PROD027,2019-12-05,580
SALE0340,14,1262,PROD036,2019-12-06,754
SALE0341,29,2842,PROD011,2019-12-07,1437
SALE0342,30,2620,PROD035,2019-12-08,1323
SALE0343,13,1451,PROD013,2019-12-09,755
SALE0344,9,1771,PROD029,2019-12-10,136
SALE0345,14,1363,PROD013,2019-12-11,995
SALE0346,12,1665,PROD017,2019-12-12,1041
SALE0347,3,2668,PROD032,2019-12-13,1289
SALE0348,40,2353,PROD010,2019-12-14,822
SALE0349,20,1739,PROD001,2019-12-15,918
SALE0350,20,1301,PROD022,2019-12-16,1081
SALE0351,46,2192,PROD037,2019-12-17,1218
SALE0352,10,1445,PROD016,2019-12-18,1298
SALE0353,50,1193,PROD037,2019-12-19,807
SALE0354,22,1641,PROD010,2019-12-20,577
SALE0355,40,1839,PROD007,2019-12-21,1241
SALE0356,25,2833,PROD027,2019-12-22,871
SALE0357,33,1448,PROD026,2019-12-23,1169
SALE0358,59,2403,PROD040,2019-12-24,828
SALE0359,47,1658,PROD038,2019-12-25,17
SALE0360,24,2333,PROD015,2019-12-26,434
SALE0361,31,1727,PROD018,2019-12-27,1117
SALE0362,55,2138,PROD024,2019-12-28,1437
SALE0363,29,2627,PROD017,2019-12-29,475
SALE0364,46,2166,PROD025,2019-12-30,611
SALE0365,5,2313,PROD027,2019-12-31,1193
SALE0366,21,2837,PROD001,2020-01-01,281
SALE0367,57,1636,PROD029,2020-01-02,846
SALE0368,43,2944,PROD005,2020-01-03,397
SALE0369,2,1739,PROD018,2020-01-04,273
SALE0370,58,2876,PROD034,2020-01-05,441
SALE0371,53,1861,PROD029,2020-01-06,1401
SALE0372,3,1648,PROD018,2020-01-07,599
SALE0373,29,2863,PROD012,2020-01-08,334
SALE0374,51,2052,PROD003,2020-01-09,142
SALE0375,13,1760,PROD006,2020-01-10,1215
SALE0376,41,1484,PROD010,2020-01-11,111
SALE0377,42,2075,PROD033,2020-01-12,484
SALE0378,38,2284,PROD026,2020-01-13,582
SALE0379,3,1630,PROD035,2020-01-14,458
SALE0380,25,2184,PROD011,2020-01-15,810
SALE0381,36,1511,PROD008,2020-01-16,562
SALE0382,35,1404,PROD019,2020-01-17,1306
SALE0383,22,1968,PROD003,2020-01-18,150
SALE0384,13,2191,PROD016,2020-01-19,565
SALE0385,17,2730,PROD006,2020-01-20,1159
SALE0386,22,1905,PROD028,2020-01-21,1474
SALE0387,34,2175,PROD019,2020-01-22,1113
SALE0388,28,2869,PROD002,2020-01-23,656
SALE0389,3,2893,PROD036,2020-01-24,1446
SALE0390,12,2402,PROD005,2020-01-25,1255
SALE0391,43,1047,PROD023,2020-01-26,1292
SALE0392,51,1828,PROD022,2020-01-27,1192
SALE0393,1,2880,PROD013,2020-01-28,534
SALE0394,24,2355,PROD029,2020-01-29,979
SALE0395,8,1293,PROD032,2020-01-30,784
SALE0396,2,2860,PROD033,2020-01-31,898
SALE0397,30,1493,PROD030,2020-02-01,560
SALE0398,12,1839,PROD037,2020-02-02,463
SALE0399,57,1489,PROD020,2020-02-03,434
SALE0400,35,2945,PROD017,2020-02-04,664
SALE0401,41,2257,PROD038,2020-02-05,313
SALE0402,23,1970,PROD030,2020-02-06,1431
SALE0403,5,1458,PROD038,2020-02-07,525
SALE0404,1,2408,PROD039,2020-02-08,1042
SALE0405,29,1621,PROD004,2020-02-09,1443
SALE0406,7,2974,PROD006,2020-02-10,426
SALE0407,8,2161,PROD022,2020-02-11,1269
SALE0408,46,1765,PROD040,2020-02-12,1288
SALE0409,59,2997,PROD027,2020-02-13,714
SALE0410,28,1381,PROD018,2020-02-14,1224
SALE0411,44,1219,PROD003,2020-02-15,134
SALE0412,25,1954,PROD022,2020-02-16,773
SALE0413,23,2759,PROD026,2020-02-17,534
SALE0414,9,2774,PROD003,2020-02-18,1184
SALE0415,42,1300,PROD002,2020-02-19,662
SALE0416,58,2927,PROD030,2020-02-20,370
SALE0417,28,1866,PROD018,2020-02-21,83
SALE0418,19,1721,PROD015,2020-02-22,570
SALE0419,58,1611,PROD005,2020-02-23,1210
SALE0420,40,2350,PROD022,2020-02-24,83
SALE0421,37,1515,PROD039,2020-02-25,674
SALE0422,13,1637,PROD023,2020-02-26,150
SALE0423,56,1447,PROD016,2020-02-27,431
SALE0424,24,2010,PROD031,2020-02-28,987
SALE0425,4,2065,PROD038,2020-02-29,157
SALE0426,49,2287,PROD015,2020-03-01,1441
SALE0427,13,2909,PROD034,2020-03-02,1186
SALE0428,19,2920,PROD004,2020-03-03,1244
SALE0429,24,2107,PROD020,2020-03-04,838
SALE0430,15,1912,PROD004,2020-03-05,11
SALE0431,1,1192,PROD033,2020-03-06,1138
SALE0432,37,1576,PROD040,2020-03-07,528
SALE0433,58,2567,PROD025,2020-03-08,541
SALE0434,50,1339,PROD013,2020-03-09,496
SALE0435,56,2102,PROD014,2020-03-10,348
SALE0436,50,2875,PROD008,2020-03-11,1398
SALE0437,8,1187,PROD019,2020-03-12,1122
SALE0438,57,2479,PROD007,2020-03-13,155
SALE0439,28,1308,PROD001,2020-03-14,1067
SALE0440,12,2111,PROD013,2020-03-15,823
SALE0441,30,1949,PROD028,2020-03-16,1181
SALE0442,47,2912,PROD001,2020-03-17,809
SALE0443,6,2570,PROD028,2020-03-18,970
SALE0444,36,2836,PROD003,2020-03-19,1175
SALE0445,46,1180,PROD002,2020-03-20,1165
SALE0446,38,2240,PROD027,2020-03-21,1174
SALE0447,54,1347,PROD040,2020-03-22,1112
SALE0448,27,1290,PROD004,2020-03-23,891
SALE0449,33,1422,PROD016,2020-03-24,354
SALE0450,47,2894,PROD039,2020-03-25,1341
SALE0451,41,1466,PROD017,2020-03-26,711
SALE0452,19,2379,PROD039,2020-03-27,953
SALE0453,46,1879,PROD011,2020-03-28,1280
SALE0454,11,2697,PROD016,2020-03-29,1458
SALE0455,44,2579,PROD013,2020-03-30,1344
SALE0456,43,2685,PROD032,2020-03-31,765
SALE0457,50,1841,PROD014,2020-04-01,868
SALE0458,51,1049,PROD026,2020-04-02,1146
SALE0459,46,2687,PROD011,2020-04-03,215
SALE0460,36,1616,PROD007,2020-04-04,1246
SALE0461,19,2234,PROD027,2020-04-05,1397
SALE0462,30,1416,PROD019,2020-04-06,105
SALE0463,43,1010,PROD016,2020-04-07,701
SALE0464,11,1509,PROD005,2020-04-08,495
SALE0465,18,2186,PROD031,2020-04-09,429
SALE0466,45,1803,PROD006,2020-04-10,854
SALE0467,49,1159,PROD012,2020-04-11,797
SALE0468,22,1303,PROD003,2020-04-12,1052
SALE0469,48,1676,PROD001,2020-04-13,581
SALE0470,45,2249,PROD008,2020-04-14,776
SALE0471,21,2800,PROD003,2020-04-15,1428
SALE0472,19,1450,PROD026,2020-04-16,1415
SALE0473,45,1093,PROD006,2020-04-17,1297
SALE0474,50,1451,PROD014,2020-04-18,75
SALE0475,48,2245,PROD024,2020-04-19,707
SALE0476,2,1248,PROD022,2020-04-20,555
SALE0477,51,1398,PROD035,2020-04-21,198
SALE0478,8,1444,PROD011,2020-04-22,717
SALE0479,12,2709,PROD023,2020-04-23,988
SALE0480,43,2635,PROD014,2020-04-24,98
SALE0481,51,2667,PROD034,2020-04-25,1465
SALE0482,3,1652,PROD017,2020-04-26,790
SALE0483,55,1699,PROD025,2020-04-27,1112
SALE0484,39,2878,PROD040,2020-04-28,1138
SALE0485,40,1740,PROD022,2020-04-29,299
SALE0486,42,2238,PROD030,2020-04-30,926
SALE0487,6,1010,PROD027,2020-05-01,1262
SALE0488,48,2616,PROD024,2020-05-02,567
SALE0489,54,1981,PROD003,2020-05-03,653
SALE0490,39,1363,PROD026,2020-05-04,1467
SALE0491,52,1851,PROD026,2020-05-05,971
SALE0492,9,2181,PROD003,2020-05-06,1433
SALE0493,21,1391,PROD024,2020-05-07,707
SALE0494,53,2819,PROD021,2020-05-08,833
SALE0495,42,1857,PROD028,2020-05-09,817
SALE0496,58,1737,PROD009,2020-05-10,1022
SALE0497,46,2429,PROD026,2020-05-11,1189
SALE0498,18,2459,PROD022,2020-05-12,465
SALE0499,59,2820,PROD002,2020-05-13,418
SALE0500,21,1375,PROD039,2020-05-14,1008
SALE0501,34,1977,PROD037,2020-05-15,815
SALE0502,31,2067,PROD015,2020-05-16,1413
SALE0503,47,1062,PROD030,2020-05-17,291
SALE0504,20,2686,PROD020,2020-05-18,574
SALE0505,46,1550,PROD013,2020-05-19,560
SALE0506,59,2532,PROD003,2020-05-20,215
SALE0507,6,2292,PROD016,2020-05-21,317
SALE0508,9,2425,PROD002,2020-05-22,285
SALE0509,24,2067,PROD019,2020-05-23,1142
SALE0510,28,1707,PROD006,2020-05-24,861
SALE0511,44,2060,PROD020,2020-05-25,727
SALE0512,14,1272,PROD012,2020-05-26,864
SALE0513,38,2621,PROD028,2020-05-27,410
SALE0514,38,1601,PROD027,2020-05-28,674
SALE0515,1,2821,PROD017,2020-05-29,680
SALE0516,50,2487,PROD024,2020-05-30,1483
SALE0517,56,1208,PROD010,2020-05-31,30
SALE0518,28,1764,PROD011,2020-06-01,364
SALE0519,11,2891,PROD037,2020-06-02,1089
SALE0520,31,2119,PROD033,2020-06-03,1445
SALE0521,6,2718,PROD032,2020-06-04,104
SALE0522,19,1181,PROD012,2020-06-05,1470
SALE0523,57,1843,PROD028,2020-06-06,1441
SALE0524,43,1057,PROD024,2020-06-07,1479
SALE0525,52,1164,PROD014,2020-06-08,982
SALE0526,44,1711,PROD022,2020-06-09,1483
SALE0527,3,2750,PROD006,2020-06-10,52
SALE0528,50,2800,PROD027,2020-06-11,317
SALE0529,17,2956,PROD004,2020-06-12,105
SALE0530,35,1593,PROD005,2020-06-13,1314
SALE0531,21,2880,PROD023,2020-06-14,830
SALE0532,14,1386,PROD026,2020-06-15,535
SALE0533,19,1699,PROD002,2020-06-16,212
SALE0534,59,1503,PROD008,2020-06-17,1175
SALE0535,3,2231,PROD032,2020-06-18,983
SALE0536,58,1075,PROD031,2020-06-19,905
SALE0537,16,2882,PROD031,2020-06-20,163
SALE0538,6,2584,PROD005,2020-06-21,1358
SALE0539,55,1402,PROD007,2020-06-22,1041
SALE0540,2,1406,PROD022,2020-06-23,1339
SALE0541,36,2807,PROD006,2020-06-24,1275
SALE0542,18,2584,PROD003,2020-06-25,1383
SALE0543,39,1621,PROD023,2020-06-26,1237
SALE0544,14,2065,PROD020,2020-06-27,165
SALE0545,39,1145,PROD026,2020-06-28,1371
SALE0546,58,2928,PROD011,2020-06-29,549
SALE0547,23,2456,PROD020,2020-06-30,197
SALE0548,29,1356,PROD035,2020-07-01,1403
SALE0549,27,2578,PROD036,2020-07-02,701
SALE0550,58,1327,PROD005,2020-07-03,298
